KIperKP,KontrasP,Solidity_Inti,HomogenitasP,Circularity_Inti,Keliling_Inti,LIperLP ,KelilingP,EntropiP,LuasNormal_P,EnergiP,Homogenitas_Inti,KelilingNormal_I,Entropi_Inti,Granularity_Inti,RerataGP,SolidityP,Energi_Inti,RerataRP,RerataR_Inti,CircularityP,LuasP,GranularityP,RerataG_Inti,RerataBP,Eccentricity,RerataB_Inti,Kontras_Inti,Luas_Inti
3,0.967021,400.137939,0.316635,0.905363,0.076005,2727,0.813905,2820,0.570009,0.511637,0.766525,0.658664,2.299325,1.894151,102.931335,17.522398,0.327717,0.233562,25.210011,105.191238,0.087325,55262,69.326256,13.114197,20.841053,0.680029,72.698692,119.727928,44978
3,0.569378,452.396698,0.32219,0.855087,0.120132,2142,0.745686,3762,0.887646,0.57115,0.635302,0.617588,1.92973,2.033218,96.716827,26.851919,0.328888,0.179559,40.15015,111.346268,0.052228,58821,81.946663,10.779142,32.184204,0.608521,67.797684,98.128052,43862
3,0.581555,480.976471,0.322358,0.874581,0.103731,2535,0.776741,4359,0.775225,0.583564,0.679714,0.601545,2.10199,2.129653,101.945679,24.885523,0.326118,0.169503,35.588448,120.461418,0.045166,68293,79.431396,15.824632,29.223246,0.839316,84.509109,106.47345,53046
3,0.687993,467.506256,0.323359,0.870745,0.097848,2355,0.732317,3423,0.811681,0.495582,0.657844,0.653432,1.992386,1.855368,106.004013,29.34178,0.326914,0.249612,40.361988,104.896896,0.063244,58969,85.964714,10.717024,34.059883,0.502366,72.13044,117.097748,43184
3,0.501522,630.651855,0.303311,0.839113,0.10118,1977,0.692364,3942,1.029078,0.530763,0.567982,0.678413,2.029774,1.830717,99.543968,36.968243,0.3258,0.215333,50.195068,105.657494,0.036757,45453,90.747917,8.54864,42.845139,0.59945,66.731918,119.468193,31470
3,0.542585,447.340485,0.325697,0.820002,0.076563,2733,0.640678,5037,1.138979,0.477744,0.524861,0.740414,2.211165,1.607404,95.611359,37.388626,0.309277,0.268725,53.19854,91.256638,0.035181,71031,88.404266,5.331003,45.750065,0.633972,55.22641,86.843552,45508
3,0.551519,428.925018,0.327398,0.83101,0.096331,2505,0.661364,4542,1.048758,0.472724,0.563758,0.697387,1.963166,1.753905,103.287117,35.405113,0.313883,0.273605,51.036655,97.668114,0.044304,72733,90.609901,10.442486,41.980915,0.703111,63.631798,87.933441,48103
3,0.695053,363.205963,0.312551,0.834493,0.097639,2571,0.652468,3699,1.053292,0.472593,0.549415,0.683358,1.947727,1.746175,97.404175,36.466953,0.326953,0.273845,51.942039,92.052132,0.072293,78715,89.90168,10.775616,43.074028,0.50173,60.887253,85.913132,51359
3,0.688623,240.389542,0.318325,0.867205,0.088198,2415,0.698974,3507,0.835027,0.448346,0.639547,0.712328,1.989292,1.607255,80.124588,23.140207,0.325621,0.299896,33.477921,72.035912,0.059836,58563,68.805244,8.059134,25.458719,0.583268,40.74057,58.705326,40934
3,0.432087,442.165344,0.321313,0.79131,0.090224,2739,0.572169,6339,1.303131,0.43616,0.444136,0.701881,1.94808,1.640462,97.844383,47.921867,0.312279,0.313934,65.702736,85.935242,0.02944,94140,94.890984,8.932111,57.2099,0.653397,59.909641,78.150742,53864
3,0.569095,409.467926,0.323682,0.853145,0.104591,2508,0.693096,4407,0.945362,0.49879,0.596899,0.654449,1.935185,1.863387,103.030739,34.408249,0.326013,0.247389,47.315636,102.623734,0.048873,75535,89.114532,12.18086,40.468418,0.625609,70.891304,85.550232,52353
3,0.543933,388.463837,0.329531,0.857052,0.119522,2340,0.683429,4302,0.90064,0.450581,0.616166,0.713684,1.720588,1.628586,102.879471,30.806618,0.326873,0.298272,44.726685,93.066338,0.051742,76204,87.176117,7.322649,38.181305,0.83668,62.155281,78.941437,52080
3,0.542298,473.233734,0.315388,0.837229,0.095247,2577,0.646846,4752,1.027627,0.45238,0.556191,0.703451,1.928892,1.672642,102.977066,39.060162,0.325871,0.295693,53.603333,93.423073,0.043304,77816,93.745514,9.984668,45.174274,0.550532,64.90049,94.750504,50335
3,0.483755,470.305145,0.327178,0.810634,0.108955,2412,0.655287,4986,1.137241,0.518231,0.518795,0.63917,1.932692,1.925841,103.523827,41.46339,0.328662,0.227936,58.062782,107.221008,0.03891,76977,95.052094,13.978682,49.907887,0.608128,75.977028,102.744789,50442
3,0.496685,433.772919,0.328555,0.817102,0.100261,2472,0.620522,4977,1.157399,0.457742,0.509356,0.709709,1.892802,1.665849,102.860748,42.311054,0.327666,0.290175,59.563816,94.298164,0.03986,78571,95.700478,7.887853,50.083305,0.664337,62.855652,82.586876,48755
3,0.48481,467.324615,0.327254,0.868441,0.11337,2298,0.732109,4740,0.831778,0.505684,0.653155,0.671072,1.871336,1.842622,101.180397,28.878477,0.329485,0.240354,39.644424,102.16069,0.036397,65075,83.50576,9.813635,33.834057,0.891738,65.662697,88.166832,47642
3,0.376422,450.418671,0.314509,0.815329,0.096428,2481,0.56555,6591,1.199101,0.391572,0.479329,0.729698,1.784892,1.5318,100.804398,47.222584,0.326822,0.36607,63.319588,80.768356,0.024159,83517,97.001068,10.462263,55.779869,0.465983,57.655334,78.83609,47233
3,0.469194,433.209137,0.319152,0.813084,0.091592,2673,0.617641,5697,1.174235,0.462709,0.498886,0.693768,1.991803,1.70418,103.515572,43.003464,0.329917,0.284531,60.68903,95.942719,0.032646,84316,95.982964,9.02614,51.486362,0.529734,65.239998,94.273468,52077
3,0.835443,460.888977,0.302567,0.869913,0.085113,1782,0.680676,2133,0.819559,0.381686,0.660656,0.73258,1.87579,1.520956,101.38401,27.3211,0.324182,0.376206,39.001385,79.531677,0.087275,31598,83.916161,12.684348,34.613167,0.446513,49.722149,113.366585,21508
3,0.370672,930.855286,0.302856,0.858993,0.063801,2184,0.621778,5892,0.88523,0.34505,0.602306,0.7513,2.056497,1.397018,98.012779,36.343285,0.296279,0.422014,45.11507,71.020729,0.014098,38948,88.252403,13.792802,43.376511,0.698614,44.957912,125.022942,24217
3,0.60587,477.014435,0.312677,0.882202,0.094517,1734,0.650698,2862,0.757679,0.322224,0.67093,0.780361,1.632768,1.292293,94.364639,27.707212,0.321413,0.453645,36.97776,64.972176,0.05332,34755,81.297531,8.961672,34.309158,0.488204,49.676281,102.700249,22615
3,0.419838,690.716431,0.3108,0.845556,0.071646,2019,0.54837,4809,0.968173,0.307384,0.542478,0.780974,1.835455,1.271365,96.514488,44.574471,0.315258,0.473747,54.642132,64.1679,0.023029,42382,95.082954,8.652092,53.769459,0.421192,50.538403,118.360352,23241
3,0.594937,735.181641,0.315173,0.877276,0.058757,2397,0.724847,4029,0.770493,0.448468,0.669081,0.676046,2.445918,1.750886,105.147728,27.135633,0.311404,0.297662,37.232491,94.65712,0.028692,37063,82.49675,18.119324,34.090595,0.587406,79.392197,165.301682,26865
3,0.902941,540.227966,0.319685,0.922232,0.088573,1842,0.842611,2040,0.45717,0.470296,0.816022,0.675742,2.037611,1.794264,105.470375,12.818372,0.32404,0.274413,19.064522,99.214684,0.085702,28382,61.847256,12.712965,17.640303,0.760735,80.388176,150.085968,23915
3,0.864222,693.336365,0.308765,0.888753,0.048185,2616,0.766116,3027,0.668448,0.451925,0.723072,0.672054,2.713693,1.789244,103.600311,19.8703,0.321027,0.292388,29.602291,93.909515,0.046975,34252,74.661301,16.074003,27.850082,0.699294,78.959061,204.566513,26241
3,1.052437,725.820007,0.273755,0.871146,0.014319,5118,0.656216,4863,0.793016,0.332776,0.660306,0.757553,4.27212,1.357245,98.945274,24.327057,0.303549,0.434922,37.259506,69.794937,0.02417,45485,81.633347,17.217228,34.495853,0.461197,59.401096,238.874634,29848
3,0.627119,770.766052,0.287638,0.888235,0.037562,2664,0.663819,4248,0.712247,0.310622,0.690641,0.778367,2.546845,1.269667,98.29966,25.349367,0.302967,0.467539,35.065411,65.891243,0.022253,31956,81.552109,15.242239,33.186462,0.626706,55.145184,171.627579,21213
3,0.67444,635.315002,0.315128,0.911311,0.069769,2169,0.767175,3216,0.5446,0.365504,0.773999,0.729842,2.023321,1.475767,103.372116,17.939129,0.32024,0.395999,24.333473,78.355934,0.041367,34047,69.897926,12.644011,22.776808,0.711248,65.134209,146.717667,26120
3,0.856155,441.822876,0.310785,0.848202,0.085938,1857,0.616662,2169,0.936068,0.351749,0.598056,0.754337,1.792471,1.399538,95.665031,32.826504,0.324063,0.414155,47.055588,70.353836,0.102151,38243,89.93222,10.850667,42.84063,0.502776,55.814377,116.478844,23583
3,0.625325,577.17157,0.320448,0.894781,0.082832,2163,0.761626,3459,0.644035,0.436072,0.729624,0.68289,2.032895,1.704712,107.387741,20.995377,0.321556,0.31234,29.72838,94.317772,0.042527,40491,75.066345,18.366091,26.779808,0.510963,77.909599,135.399628,30839
