KIperKP,KontrasP,Solidity_Inti,HomogenitasP,Circularity_Inti,Keliling_Inti,LIperLP,KelilingP,EntropiP,LuasNormal_P,EnergiP,Homogenitas_Inti,KelilingNormal_I,Entropi_Inti,Granularity_Inti,RerataGP,SolidityP,Energi_Inti,RerataRP,RerataR_Inti,CircularityP,LuasP,GranularityP,RerataG_Inti,RerataBP,Eccentricity,RerataB_Inti,Kontras_Inti,Luas_Inti
3,53046,2535,0.322358,101.945679,0.103731,120.461418,15.824632,84.509109,2.129653,0.169503,106.47345,0.601545,68293,4359,0.326118,79.431396,0.045166,35.588448,24.885523,29.223246,0.775225,0.679714,480.976471,0.874581,0.583564,2.10199,0.839316,0.776741.0.581555
3,43184,2355,0.323359,106.004013,0.097848,104.896896,10.717024,72.13044,1.855368,0.249612,117.097748,0.653432,58969,3423,0.326914,85.964714,0.063244,40.361988,29.34178,34.059883,0.811681,0.657844,467.506256,0.870745,0.495582,1.992386,0.502366,0.732317.0.687993
3,31470,1977,0.303311,99.543968,0.10118,105.657494,8.54864,66.731918,1.830717,0.215333,119.468193,0.678413,45453,3942,0.3258,90.747917,0.036757,50.195068,36.968243,42.845139,1.029078,0.567982,630.651855,0.839113,0.530763,2.029774,0.59945,0.692364.0.501522
3,45508,2733,0.325697,95.611359,0.076563,91.256638,5.331003,55.22641,1.607404,0.268725,86.843552,0.740414,71031,5037,0.309277,88.404266,0.035181,53.19854,37.388626,45.750065,1.138979,0.524861,447.340485,0.820002,0.477744,2.211165,0.633972,0.640678.0.542585
3,48103,2505,0.327398,103.287117,0.096331,97.668114,10.442486,63.631798,1.753905,0.273605,87.933441,0.697387,72733,4542,0.313883,90.609901,0.044304,51.036655,35.405113,41.980915,1.048758,0.563758,428.925018,0.83101,0.472724,1.963166,0.703111,0.661364.0.551519
3,51359,2571,0.312551,97.404175,0.097639,92.052132,10.775616,60.887253,1.746175,0.273845,85.913132,0.683358,78715,3699,0.326953,89.90168,0.072293,51.942039,36.466953,43.074028,1.053292,0.549415,363.205963,0.834493,0.472593,1.947727,0.50173,0.652468.0.695053
3,40934,2415,0.318325,80.124588,0.088198,72.035912,8.059134,40.74057,1.607255,0.299896,58.705326,0.712328,58563,3507,0.325621,68.805244,0.059836,33.477921,23.140207,25.458719,0.835027,0.639547,240.389542,0.867205,0.448346,1.989292,0.583268,0.698974.0.688623
3,53864,2739,0.321313,97.844383,0.090224,85.935242,8.932111,59.909641,1.640462,0.313934,78.150742,0.701881,94140,6339,0.312279,94.890984,0.02944,65.702736,47.921867,57.2099,1.303131,0.444136,442.165344,0.79131,0.43616,1.94808,0.653397,0.572169.0.432087
3,52353,2508,0.323682,103.030739,0.104591,102.623734,12.18086,70.891304,1.863387,0.247389,85.550232,0.654449,75535,4407,0.326013,89.114532,0.048873,47.315636,34.408249,40.468418,0.945362,0.596899,409.467926,0.853145,0.49879,1.935185,0.625609,0.693096.0.569095
3,52080,2340,0.329531,102.879471,0.119522,93.066338,7.322649,62.155281,1.628586,0.298272,78.941437,0.713684,76204,4302,0.326873,87.176117,0.051742,44.726685,30.806618,38.181305,0.90064,0.616166,388.463837,0.857052,0.450581,1.720588,0.83668,0.683429.0.543933
3,50335,2577,0.315388,102.977066,0.095247,93.423073,9.984668,64.90049,1.672642,0.295693,94.750504,0.703451,77816,4752,0.325871,93.745514,0.043304,53.603333,39.060162,45.174274,1.027627,0.556191,473.233734,0.837229,0.45238,1.928892,0.550532,0.646846.0.542298
